Link Title,HyperLinks,Link Type
"N.J. Stat. Ann. §§ 3B:1-2",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:6BCY-FBS3-RTMP-K2T0-00000-00,statutes-legislation
"3B:3-2",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-0136-00000-00,statutes-legislation
"Purposes and Uses of a Will (NJ)",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5XH6-FB21-JC0G-62YV-00000-00,analytical-materials
"Kennedy v. Mockler, 118 A.2d 93, 100 (App. Div. 1955)",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:3RRH-SW40-003D-S3F2-00000-00,cases
"N.J. Stat. Ann. §§ 3B:3-2",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-0136-00000-00,statutes-legislation
"3B:3-7",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-013F-00000-00,statutes-legislation
"N.J. Stat. Ann. § 3B:3-2(b)",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-0136-00000-00,statutes-legislation
"N.J. Stat. Ann. § 3B:3-8",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-013G-00000-00,statutes-legislation
"N.J. Stat. Ann. § 3B:3-4",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-013B-00000-00,statutes-legislation
"Purposes and Uses of a Will (NJ)",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5XH6-FB21-JC0G-62YV-00000-00,analytical-materials
"Kennedy v. Mockler, 118 A.2d 93, 100 (App. Div. 1955)",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:3RRH-SW40-003D-S3F2-00000-00,cases
"N.J. Stat. Ann. §§ 3B:1-2",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:6BCY-FBS3-RTMP-K2T0-00000-00,statutes-legislation
"3B:3-2",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-0136-00000-00,statutes-legislation
"3B:3-7",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-013F-00000-00,statutes-legislation
"N.J. Stat. Ann. § 3B:3-8",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-013G-00000-00,statutes-legislation
"N.J. Stat. Ann. § 3B:3-4",https://advance.lexis.com/api/document?idtype=PID&context=1000522&id=urn:contentItem:5F0Y-BPS1-6F13-013B-00000-00,statutes-legislation
